nation_rank,nation_prev_rank,nation,confederation,points
1,1,Argentina,CONMEBOL,1851
2,2,France,UEFA,1841
3,5,Brazil,CONMEBOL,1838
4,4,England,UEFA,1794
5,6,Belgium,UEFA,1793
6,12,Croatia,UEFA,1748
7,7,Netherlands,UEFA,1743
8,8,Portugal,UEFA,1729
9,10,Italy,UEFA,1727
10,3,Spain,UEFA,1711
11,16,United States,CONCACAF,1679
12,17,Mexico,CONCACAF,1661
13,14,Morocco,CAF,1658
14,15,Switzerland,UEFA,1654
15,13,Germany,UEFA,1638
16,9,Colombia,CONMEBOL,1630
17,11,Uruguay,CONMEBOL,1627
18,21,Denmark,UEFA,1607
19,18,Japan,AFC,1605
20,19,Senegal,CAF,1597
21,20,Iran,AFC,1561
22,42,Peru,CONMEBOL,1552
23,29,Sweden,UEFA,1539
24,25,Ukraine,UEFA,1538
25,22,Austria,UEFA,1537
26,23,South Korea,AFC,1533
27,24,Australia,AFC,1532
28,32,Serbia,UEFA,1529
29,41,Tunisia,CAF,1525
30,28,Poland,UEFA,1525
31,48,Scotland,UEFA,1523
32,31,Hungary,UEFA,1518
33,30,Wales,UEFA,1511
34,46,Algeria,CAF,1510
35,36,Egypt,CAF,1509
36,43,Chile,CONMEBOL,1505
37,47,Czech Republic,UEFA,1500
38,27,Ecuador,CONMEBOL,1498
39,33,Russia,UEFA,1496
40,39,Nigeria,CAF,1489
41,51,Cameroon,CAF,1476
42,26,Türkiye,UEFA,1475
43,50,Norway,UEFA,1471
44,40,Canada,CONCACAF,1459
45,35,Panama,CONCACAF,1452
46,49,Costa Rica,CONCACAF,1452
47,45,Romania,UEFA,1448
48,44,Slovakia,UEFA,1443
49,53,Mali,CAF,1442
50,38,Ivory Coast,CAF,1438
51,54,Greece,UEFA,1437
52,62,Paraguay,CONMEBOL,1432
53,37,Venezuela,CONMEBOL,1423
54,63,Finland,UEFA,1418
55,58,Republic of Ireland,UEFA,1416
56,59,Jamaica,CONCACAF,1414
57,56,Saudi Arabia,AFC,1413
58,67,Burkina Faso,CAF,1409
59,52,Slovenia,UEFA,1405
60,64,Ghana,CAF,1400
61,34,Qatar,AFC,1396
62,66,Albania,UEFA,1377
63,75,Bosnia-Herzegovina,UEFA,1370
64,60,Democratic Republic of the Congo,CAF,1370
65,57,South Africa,CAF,1368
66,72,North Macedonia,UEFA,1363
67,71,Iceland,UEFA,1352
68,73,Montenegro,UEFA,1349
69,55,Iraq,AFC,1347
70,69,United Arab Emirates,AFC,1342
71,65,Cape Verde,CAF,1337
72,78,Israel,UEFA,1336
73,76,Oman,AFC,1334
74,74,Northern Ireland,UEFA,1333
75,61,Uzbekistan,AFC,1328
76,81,El Salvador,CONCACAF,1307
77,79,Honduras,CONCACAF,1306
78,82,Bulgaria,UEFA,1301
79,70,Georgia,UEFA,1299
80,87,China,AFC,1297
81,77,Guinea,CAF,1293
82,92,Zambia,CAF,1290
83,89,Bolivia,CONMEBOL,1288
84,68,Jordan,AFC,1286
85,84,Luxembourg,UEFA,1274
86,80,Bahrain,AFC,1274
87,85,Haiti,CONCACAF,1271
88,83,Gabon,CAF,1271
89,95,Uganda,CAF,1260
90,86,Curaçao,CONCACAF,1259
91,97,Armenia,UEFA,1254
92,88,Equatorial Guinea,CAF,1249
93,93,Syria,AFC,1246
94,91,Benin,CAF,1245
95,115,Vietnam,AFC,1243
96,102,Kyrgyzstan,AFC,1229
97,96,Palestine,AFC,1224
98,100,Trinidad and Tobago,CONCACAF,1217
99,112,Mauritania,CAF,1207
100,109,Kazakhstan,UEFA,1207
101,116,Lebanon,AFC,1206
102,124,India,AFC,1205
103,107,Guatemala,CONCACAF,1200
104,94,New Zealand,OFC,1199
105,99,Belarus,UEFA,1198
106,114,Guinea-Bissau,CAF,1191
107,118,Republic of the Congo,CAF,1190
108,105,Madagascar,CAF,1188
109,108,Kenya,CAF,1184
110,103,Tajikistan,AFC,1183
111,106,Kosovo,UEFA,1182
112,101,Thailand,AFC,1181
113,104,Mozambique,CAF,1179
114,98,Namibia,CAF,1172
115,123,Estonia,UEFA,1172
116,110,North Korea,AFC,1170
117,90,Angola,CAF,1168
118,132,The Gambia,CAF,1161
119,120,Togo,CAF,1158
120,127,Cyprus,UEFA,1156
121,111,Azerbaijan,UEFA,1148
122,113,Tanzania,CAF,1146
123,126,Malawi,CAF,1144
124,122,Sierra Leone,CAF,1144
125,129,Zimbabwe,CAF,1139
126,117,Libya,CAF,1134
127,128,Central African Republic,CAF,1127
128,125,Niger,CAF,1120
129,119,Comoros,CAF,1119
130,121,Sudan,CAF,1109
131,138,Faroe Islands,UEFA,1107
132,147,Philippines,AFC,1099
133,141,Solomon Islands,OFC,1098
134,134,Malaysia,AFC,1095
135,136,Kuwait,AFC,1093
136,137,Latvia,UEFA,1090
137,148,Antigua and Barbuda,CONCACAF,1089
138,130,Nicaragua,CONCACAF,1089
139,131,Rwanda,CAF,1087
140,144,Turkmenistan,AFC,1086
141,139,Burundi,CAF,1080
142,143,Ethiopia,CAF,1073
143,135,Lithuania,UEFA,1072
144,155,Eswatini,CAF,1066
145,140,Suriname,CONCACAF,1063
146,146,Saint Kitts and Nevis,CONCACAF,1058
147,133,Indonesia,AFC,1053
148,159,Hong Kong,AFC,1052
149,145,Botswana,CAF,1051
150,142,Liberia,CAF,1048
151,150,Dominican Republic,CONCACAF,1036
152,149,Lesotho,CAF,1034
153,164,Andorra,UEFA,1025
154,165,Chinese Taipei,AFC,1024
155,163,Maldives,AFC,1022
156,156,Yemen,AFC,1020
157,161,Singapore,AFC,1016
158,151,Afghanistan,AFC,1014
159,152,Moldova,UEFA,1010
160,157,Puerto Rico,CONCACAF,1008
161,166,Myanmar,AFC,1004
162,168,Papua New Guinea,OFC,1003
163,160,New Caledonia,OFC,996
164,158,Tahiti,OFC,995
165,154,Guyana,CONCACAF,994
166,170,Saint Lucia,CONCACAF,988
167,169,South Sudan,CAF,987
168,162,Vanuatu,OFC,986
169,167,Cuba,CONCACAF,981
170,153,Fiji,OFC,980
171,172,Malta,UEFA,972
172,177,Barbados,CONCACAF,970
173,173,Grenada,CONCACAF,959
174,171,Bermuda,CONCACAF,958
175,175,Nepal,AFC,954
176,174,Saint Vincent and the Grenadines,CONCACAF,954
177,180,Cambodia,AFC,949
178,179,Mauritius,CAF,943
179,176,Montserrat,CONCACAF,940
180,183,Belize,CONCACAF,932
181,178,Chad,CAF,930
182,181,Dominica,CONCACAF,911
183,189,Mongolia,AFC,909
184,182,Bhutan,AFC,906
185,185,Macau,AFC,904
186,188,Laos,AFC,900
187,186,Cook Islands,OFC,899
188,191,São Tomé and Príncipe,CAF,898
189,184,Bangladesh,AFC,894
190,193,Djibouti,CAF,889
191,190,Brunei Darussalam,AFC,888
192,196,Timor-Leste,AFC,860
193,194,Aruba,CONCACAF,858
194,202,Somalia,CAF,855
195,201,Seychelles,CAF,854
196,195,Cayman Islands,CONCACAF,852
197,197,Pakistan,AFC,848
198,198,Gibraltar,UEFA,845
199,199,Liechtenstein,UEFA,844
200,203,Bahamas,CONCACAF,842
201,204,Guam,AFC,838
202,205,Sri Lanka,AFC,825
203,206,Turks and Caicos Islands,CONCACAF,825
204,208,United States Virgin Islands,CONCACAF,817
205,207,British Virgin Islands,CONCACAF,812
206,209,Anguilla,CONCACAF,786
207,210,San Marino,UEFA,750
