Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Bruk-Bet Termalica Nieciecza,38,34.0,81,1,0,,,,,,,,,2
Cracovia,33,34.0,75,2,2,,,,,,,,,0
Górnik Zabrze,30,34.0,68,1,1,,,,,,,,,2
Górnik Łęczna,33,34.0,75,4,4,,,,,,,,,2
Jagiellonia,38,34.0,87,3,1,,,,,,,,,2
Lech Poznań,28,34.0,51,2,1,,,,,,,,,0
Lechia Gdańsk,31,34.0,73,1,1,,,,,,,,,1
Legia Warsaw,39,34.0,95,5,1,,,,,,,,,1
Piast Gliwice,29,34.0,50,0,0,,,,,,,,,1
Pogoń Szczecin,27,34.0,63,3,2,,,,,,,,,3
Radomiak Radom,29,34.0,72,4,3,,,,,,,,,0
RKS Raków,36,34.0,78,4,3,,,,,,,,,0
Śląsk Wrocław,33,34.0,72,5,3,,,,,,,,,4
Stal Mielec,35,34.0,78,3,2,,,,,,,,,4
Warta Poznań,34,34.0,70,2,1,,,,,,,,,3
Wisła Kraków,34,34.0,69,4,1,,,,,,,,,3
Wisła Płock,32,34.0,95,5,3,,,,,,,,,3
Zagłębie Lubin,39,34.0,82,4,2,,,,,,,,,3
