Squad,# of Players,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
N/A
N/A
Arouca,29,34.0,11968,15448,77.5,223596,87751,5091,5803,87.7,5095,6052,84.2,1522,2847,53.5,23,26.1,25.0,-3.1,268,872,188,51,1022
Benfica,32,34.0,18706,22135,84.5,315310,103650,8824,9722,90.8,7369,8238,89.5,1784,2710,65.8,51,61.3,64.0,-10.3,437,1631,469,125,1955
Boavista,30,34.0,11977,15388,77.8,221552,81190,5008,5683,88.1,5261,6165,85.3,1406,2678,52.5,35,28.8,26.4,+6.2,275,842,204,76,1087
Braga,31,34.0,14708,18309,80.3,276959,96649,5882,6640,88.6,6546,7497,87.3,1876,3181,59.0,50,40.8,41.4,+9.2,407,1225,326,90,1511
Casa Pia,31,34.0,10557,13947,75.7,189632,74859,4660,5367,86.8,4534,5423,83.6,1103,2345,47.0,20,27.6,27.5,-7.6,291,801,179,66,1062
Chaves,31,34.0,10980,14227,77.2,211796,86357,4184,4888,85.6,5127,6081,84.3,1422,2490,57.1,17,26.9,27.1,-9.9,325,902,236,85,1209
Estoril,33,34.0,11010,14168,77.7,219402,76986,3897,4564,85.4,5440,6286,86.5,1520,2731,55.7,26,22.3,22.7,+3.7,246,787,181,58,1015
Famalicão,33,34.0,11626,14900,78.0,224596,85561,4580,5278,86.8,5205,6128,84.9,1581,2771,57.1,31,29.1,25.6,+1.9,323,785,218,90,1096
Gil Vicente FC,32,34.0,13826,17360,79.6,253577,94737,5721,6490,88.2,6130,7106,86.3,1603,2806,57.1,19,29.1,30.9,-10.1,314,1053,259,71,1428
Marítimo,39,34.0,10991,14487,75.9,216660,83688,3955,4640,85.2,5267,6174,85.3,1517,2886,52.6,21,29.2,24.1,-8.2,341,917,215,69,1199
Paços,36,34.0,11264,14541,77.5,215792,83061,4582,5222,87.7,4878,5760,84.7,1564,2831,55.2,17,24.1,23.8,-7.1,292,802,204,85,1040
Portimonense,35,34.0,11520,15159,76.0,222400,87088,4422,5207,84.9,5284,6215,85.0,1514,2857,53.0,15,27.7,26.5,-12.7,300,904,206,89,1072
Porto,28,34.0,15093,18528,81.5,273118,97649,6720,7568,88.8,6202,7175,86.4,1794,2806,63.9,49,52.6,55.8,-3.6,391,1170,391,78,1624
Rio Ave,30,34.0,12658,15875,79.7,239467,86039,4997,5663,88.2,5916,6818,86.8,1519,2678,56.7,29,26.5,25.1,+2.5,280,910,197,82,1148
Santa Clara,34,34.0,9314,12905,72.2,184185,77502,3691,4463,82.7,3939,4922,80.0,1446,2753,52.5,18,22.9,21.3,-4.9,245,737,168,53,919
Sporting CP,32,34.0,17895,21201,84.4,315993,98694,7713,8503,90.7,8385,9316,90.0,1518,2507,60.6,51,50.1,44.5,+0.9,414,1538,365,85,1847
Vitória,34,34.0,11381,14815,76.8,210741,83755,4849,5624,86.2,4765,5685,83.8,1453,2643,55.0,25,24.9,24.4,+0.1,271,927,196,72,1132
Vizela,30,34.0,11045,14729,75.0,190235,80839,5318,6144,86.6,4250,5233,81.2,1110,2378,46.7,24,30.5,27.6,-6.5,295,908,244,60,1150
