Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Arda,28,36.0,38,,,,,,,,,3,3
Beroe,40,35.0,29,,,,,,,,,3,3
Botev Plovdiv,46,36.0,50,,,,,,,,,5,5
Botev Vratsa,31,35.0,26,,,,,,,,,4,4
Cherno More,29,35.0,55,,,,,,,,,6,6
CSKA 1948,41,36.0,35,,,,,,,,,5,5
CSKA Sofia,34,35.0,55,,,,,,,,,1,1
Etar,41,35.0,21,,,,,,,,,3,3
FK Levski 2005,32,35.0,44,,,,,,,,,3,3
Levski Sofia,32,35.0,50,,,,,,,,,2,2
Loko Plovdiv,33,35.0,52,,,,,,,,,6,6
Lokomotiv Sofia,29,35.0,28,,,,,,,,,4,4
Ludogorets,44,35.0,84,,,,,,,,,5,5
PFC Hebar Pazardzhik,28,35.0,35,,,,,,,,,1,1
Pirin Blagoevgrad,35,35.0,25,,,,,,,,,2,2
Slavia Sofia,34,36.0,34,,,,,,,,,4,4
