Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90
N/A
N/A
Anderlecht,25,24.8,56.3,34,374,"3,060",34.0,70,44,114,63,7,7,55,6,73.9,68.8,54.2,123.0,665,1844,2.06,1.29,3.35,1.85,3.15,2.17,1.59,3.77,2.02,3.62
Antwerp,31,26.4,52.7,34,374,"3,060",34.0,53,26,79,51,2,5,73,6,49.7,45.6,35.6,81.2,684,1476,1.56,0.76,2.32,1.50,2.26,1.46,1.05,2.51,1.34,2.39
Beerschot,33,26.2,44.4,34,371,"3,060",34.0,31,18,49,28,3,5,81,9,37.2,32.9,25.5,58.4,394,1127,0.91,0.53,1.44,0.82,1.35,1.09,0.75,1.84,0.97,1.72
Cercle Brugge,25,23.3,46.5,34,374,"3,060",34.0,49,25,74,43,6,6,79,4,53.7,49.2,36.7,85.9,410,1367,1.44,0.74,2.18,1.26,2.00,1.58,1.08,2.66,1.45,2.53
Charleroi,34,24.0,50.8,34,374,"3,060",34.0,52,41,93,51,1,3,55,1,51.8,50.0,42.7,92.7,686,1561,1.53,1.21,2.74,1.50,2.71,1.52,1.25,2.78,1.47,2.73
Club Brugge,31,26.9,58.1,34,374,"3,060",34.0,71,48,119,68,3,3,60,8,72.3,69.6,53.6,123.2,697,1852,2.09,1.41,3.50,2.00,3.41,2.13,1.58,3.70,2.05,3.62
Eupen,34,26.0,49.7,34,374,"3,060",34.0,36,25,61,35,1,1,79,2,43.7,42.9,31.3,74.1,651,1348,1.06,0.74,1.79,1.03,1.76,1.28,0.92,2.20,1.26,2.18
Genk,27,24.0,58.9,34,374,"3,060",34.0,65,45,110,58,7,9,50,4,69.9,62.9,53.6,116.4,777,1775,1.91,1.32,3.24,1.71,3.03,2.06,1.58,3.63,1.85,3.42
Gent,28,27.5,54.4,34,374,"3,060",34.0,54,34,88,52,2,5,61,4,62.5,58.5,45.9,104.3,712,1529,1.59,1.00,2.59,1.53,2.53,1.84,1.35,3.19,1.72,3.07
Kortrijk,32,25.7,47.1,34,374,"3,060",34.0,43,29,72,37,6,8,91,4,45.5,39.2,30.6,69.8,480,1129,1.26,0.85,2.12,1.09,1.94,1.34,0.90,2.24,1.15,2.05
Mechelen,27,26.0,53.0,34,363,"2,970",33.0,56,42,98,54,2,4,63,4,42.0,38.9,32.0,70.9,558,1385,1.70,1.27,2.97,1.64,2.91,1.27,0.97,2.24,1.18,2.15
OH Leuven,30,26.1,49.6,34,363,"2,970",33.0,42,28,70,38,4,5,69,6,45.3,41.7,34.0,75.7,569,1451,1.27,0.85,2.12,1.15,2.00,1.37,1.03,2.40,1.26,2.29
Oostende,30,23.9,45.1,34,374,"3,060",34.0,33,22,55,31,2,2,83,6,39.6,38.0,28.3,66.4,414,1426,0.97,0.65,1.62,0.91,1.56,1.17,0.83,2.00,1.12,1.95
R.F.C. Seraing,29,24.7,47.7,34,374,"3,060",34.0,29,19,48,27,2,2,66,6,39.2,37.6,28.9,66.6,591,1171,0.85,0.56,1.41,0.79,1.35,1.15,0.85,2.00,1.11,1.96
Sint-Truiden,32,26.4,43.4,34,374,"3,060",34.0,40,22,62,36,4,5,80,4,41.3,37.5,30.0,67.5,475,1232,1.18,0.65,1.82,1.06,1.71,1.22,0.88,2.10,1.10,1.99
Standard Liège,38,24.1,48.6,34,371,"3,060",34.0,31,3,34,28,3,3,113,6,39.0,36.6,27.9,64.5,584,1323,0.91,0.09,1.00,0.82,0.91,1.15,0.82,1.97,1.08,1.90
Union SG,25,26.2,48.3,34,374,"3,060",34.0,71,48,119,65,6,7,77,4,62.0,56.5,47.2,103.7,581,1482,2.09,1.41,3.50,1.91,3.32,1.82,1.39,3.21,1.66,3.05
Zulte Waregem,27,27.0,45.4,34,374,"3,060",34.0,42,27,69,38,4,4,75,5,38.0,35.0,27.0,61.9,496,1263,1.24,0.79,2.03,1.12,1.91,1.12,0.79,1.91,1.03,1.82
