Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 FC Copenhagen,22,14,6,2,43,13,+30,48,2.18,,Pep Biel - 11,Kamil Grabara,→ Championship round 
 Midtjylland,22,13,3,6,37,22,+15,42,1.91,,Evander - 12,Elías Rafn Ólafsson,→ Championship round 
 Brøndby,22,11,7,4,30,24,+6,40,1.82,,Mikael Uhre - 11,Mads Hermansen,→ Championship round 
 Aalborg,22,11,5,6,36,26,+10,38,1.73,,Louka Prip - 14,Jacob Rinne,→ Championship round 
 Randers,22,9,6,7,26,25,+1,33,1.50,,"Stephen Odey, Vito Hammershøy-Mistrati - 7",Patrik Carlgren,→ Championship round 
 Silkeborg,22,7,10,5,34,21,+13,31,1.41,,Nicklas Helenius - 17,Nicolai Larsen,→ Championship round 
,,,,,,,,,,,,,
 Viborg,22,6,9,7,31,33,-2,27,1.23,,"Sebastian Grønning, Jakob Bonde - 6",Lucas Lund Pedersen,→ Relegation round 
 AGF,22,6,8,8,24,29,-5,26,1.18,,Patrick Mortensen - 6,Jesper Hansen,→ Relegation round 
 Odense,22,4,9,9,31,35,-4,21,0.95,,Issam Jebali - 10,Hans Christian Bernat,→ Relegation round 
 Nordsjælland,22,5,6,11,24,37,-13,21,0.95,,Simon Adingra - 9,Andreas Hansen,→ Relegation round 
 Vejle BK,22,4,4,14,21,48,-27,16,0.73,,"Arbnor Mucolli, Luka Đorđević - 5",Alexander Brunst,→ Relegation round 
 SønderjyskE,22,2,7,13,17,41,-24,13,0.59,,Emil Berggreen - 4,Lawrence Thomas,→ Relegation round 
