competition_name,gender,governing_body,champion,top_scorer,season
UEFA Champions League,M,UEFA,Real Madrid CF,Karim Benzema - 15,2021_2022
UEFA Europa League,M,UEFA,Eintracht Frankfurt,James Tavernier - 7,2021_2022
UEFA Conference League,M,UEFA,AS Roma,Cyriel Dessers - 10,2021_2022
UEFA Super Cup,M,UEFA,Chelsea FC,"Gerard Moreno, Hakim Ziyech - 1",2021_2022
UEFA Champions League,M,UEFA,Real Madrid CF,"Harry Kane, Kylian Mbappé - 8",2023_2024
UEFA Europa League,M,UEFA,Atalanta BC,Pierre-Emerick Aubameyang - 10,2023_2024
UEFA Conference League,M,UEFA,Olympiacos FC,Ayoub El Kaabi - 11,2023_2024
UEFA Super Cup,M,UEFA,Manchester City FC,"Youssef En-Nesyri, Cole Palmer - 1",2023_2024
UEFA Champions League,M,UEFA,Manchester City FC,Erling Haaland - 12,2022_2023
UEFA Europa League,M,UEFA,Sevilla FC,"Marcus Rashford, Victor Boniface - 6",2022_2023
UEFA Conference League,M,UEFA,West Ham United FC,"Arthur Cabral, Zeki Amdouni - 7",2022_2023
UEFA Super Cup,M,UEFA,Real Madrid CF,"David Alaba, Karim Benzema - 1",2022_2023
